시청,강릉시청,고성군청,동해시청,삼척시청,속초시청,양구군청,양양군청,영월군청,원주시청,인제군청,정선군청,철원군청,춘천시청,태백시청,평창군청,화천군청,횡성군청,가평군청,고양시청,과천시청,광명시청,광주시청,구리시청,군포시청,김포시청,남양주시청,동두천시청,부천시청,성남시청,수원시청,시흥시청,안산시청,안성시청,안양시청,양주시청,양평군청,여주시청,연천군청,오산시청,용인시청,의왕시청,의정부시청,이천시청,파주시청,평택시청,포천시청,하남시청,화성시청,거제시청,거창군청,고성군청,김해시청,남해군청,밀양시청,사천시청,산청군청,양산시청,의령군청,진주시청,창녕군청,창원시청,통영시청,하동군청,함안군청,함양군청,합천군청,경산시청,경주시청,고령군청,구미시청,김천시청,문경시청,봉화군청,상주시청,성주군청,안동시청,영덕군청,영양군청,영주시청,영천시청,예천군청,울릉군청,울진군청,의성군청,청도군청,청송군청,칠곡군청,포항시청,광주시청,대구시청,대전시청,부산시청,서울시청,세종시청,울산시청,인천시청,강진군청,고흥군청,곡성군청,광양시청,구례군청,나주시청,담양군청,목포시청,무안군청,보성군청,순천시청,신안군청,여수시청,영암군청,완도군청,장성군청,장흥군청,진도군청,함평군청,해남군청,화순군청,고창군청,군산시청,김제시청,남원시청,무주군청,부안군청,순창군청,완주군청,익산시청,임실군청,장수군청,전주시청,정읍시청,진안군청,계룡시청,공주시청,금산군청,논산시청,당진시청,보령시청,부여군청,서산시청,서천군청,아산시청,예산군청,천안시청,청양군청,태안군청,괴산군청,단양군청,보은군청,영동군청,옥천군청,음성군청,제천시청,증평군청,진천군청,청주시청,충주시청,홍천군청,영광군청,홍성군청
강릉시청,0,17908,2384,2690,3761,6330,2373,6475,5378,5010,4673,11287,6946,5051,4564,7983,4848,7513,10591,9538,9907,15907,8394,8739,11099,8056,9562,9669,7593,8589,9197,9217,8751,8455,9286,6988,6103,10390,8301,7720,8400,8533,6807,9698,9393,8940,7546,8911,18468,15136,17908,15193,19255,14751,17836,14885,18900,16282,16717,13815,16480,18462,18292,15951,14691,14520,13813,11507,13978,12177,12204,9520,7954,10486,12587,10082,7757,9681,8487,13488,9160,11429,5012,11213,13914,9615,12441,10675,16028,12656,10680,15673,8983,10659,13638,9256,19519,19769,16069,18040,16565,17203,16456,18596,17611,18900,14500,18574,18853,18449,21723,15801,19610,21144,17552,20185,17173,15953,13666,14297,15340,12458,14685,15699,12897,13465,14293,13906,13621,14602,14165,11276,11367,11704,12254,10748,13235,12727,11617,13439,10420,11889,9819,12555,12534,8570,7602,10748,12590,10702,8105,6184,8927,8344,9585,7218,5407,17239,12643
고성군청,18201,0,17638,17367,20360,18848,18979,14356,14301,17889,16772,18748,17125,14632,15535,18208,14748,17316,17511,15479,15627,7194,14764,14354,16836,14518,16405,15084,14090,13375,14131,13932,11921,14126,15156,14057,13172,16968,11945,12657,13341,14370,12547,15424,11566,15234,13207,13076,2378,4994,0,4064,4330,5533,2652,3379,6383,3431,2217,4398,3061,1346,3671,2620,4117,4327,7086,7124,5418,7379,7891,9131,11203,8892,6202,9548,10882,11524,10330,8283,9956,21314,14004,8715,6084,9897,6880,8461,7157,6376,8640,4635,13981,9089,6510,14285,7810,6585,6245,3973,5108,8570,7175,8880,8970,6383,6115,8895,5536,8326,10234,7745,6934,10543,8928,8762,7327,8074,8907,8494,5295,6346,9527,6165,6883,8408,6845,5628,7334,8786,5904,8453,9530,7242,8614,12316,10919,9232,12700,9438,10919,11128,10794,10961,13653,10904,11914,9274,7605,8109,11706,12398,10275,10519,10027,11883,15574,8789,11822
동해시청,2256,17115,0,1239,5146,7791,3709,7180,6723,6478,5751,12780,8338,3583,5942,9336,6333,8872,12058,11016,11252,17299,9888,10210,12591,9541,11063,11166,9065,9947,10578,10710,10246,9951,10779,8515,7617,11917,9792,9099,9794,10062,8168,11218,10911,10471,9080,10404,17065,14490,17115,13797,18732,13884,17134,15521,20792,15626,16168,13209,15143,17611,18238,15287,15190,13689,12693,10116,13149,11680,12144,9712,6666,10895,12392,8692,6359,8292,7249,11229,8334,9690,3579,9561,13213,8172,11887,9249,17500,12157,12190,14198,10496,12171,12183,10773,21036,20860,17491,18473,18013,18640,18179,20113,19129,20792,15062,20087,19929,19889,23239,17241,21130,22652,19087,21694,18765,17489,15178,15817,16463,14092,16216,17220,14306,14849,15696,15307,15010,16079,15569,12701,12915,13241,13786,12286,14751,14238,13120,14988,11934,13421,11333,14102,14085,9993,9030,12186,13806,12398,9534,7616,10352,9807,11036,8742,6829,18747,14201
삼척시청,2632,16648,1359,0,5483,8072,4110,6796,7123,6760,5618,13078,8714,3228,6337,9733,6614,9270,12356,11319,11654,17907,10175,10499,12878,9825,11355,11474,9365,10360,10988,11004,10728,10243,11052,8813,7910,12219,10085,9491,10203,10373,8562,11522,11215,10775,9379,10699,16792,14021,16648,13526,18269,13609,16665,15050,20338,15155,15702,12744,14869,17136,17758,14818,14723,13218,12416,9842,12675,11359,11830,9252,6135,10419,12079,8376,6089,7974,6788,10958,7868,10753,3293,9273,12876,7882,11417,8964,18090,11625,12489,13901,10792,12476,11894,11078,21569,20425,17137,17967,17553,19272,17823,20393,19469,20338,14579,20524,19489,20248,23533,17856,20934,22940,19380,22499,18536,17779,15516,16100,16016,14289,16500,16875,14713,15246,16103,15723,15411,16396,15975,13128,13220,13525,14067,12589,15014,14521,13424,15314,12234,13728,11634,14422,14402,10397,9013,12216,13322,12802,9938,8015,10754,10163,11435,9659,7230,19067,14502
속초시청,3501,20083,5027,5336,0,4592,1850,8858,7718,3229,7083,11019,6606,7656,6986,6875,6496,7169,10305,10930,11253,18398,8117,10207,10861,7643,9157,10755,9298,10912,10698,10808,11678,9775,9061,7403,8756,9982,10550,10052,9566,8287,9117,9501,11274,8547,7663,10551,21024,17322,20083,18025,21502,16916,19688,17121,20581,18374,18879,16025,18626,20321,20473,18109,16819,16438,15736,14068,15899,13847,14370,11746,10678,12598,14635,12312,10312,12248,10848,15026,11349,13982,7580,12670,16174,12401,14994,13443,17631,14925,12960,18486,8646,12939,16278,9907,21142,21470,17733,20126,18234,18837,18101,19644,18674,20581,16982,19641,20264,20150,23644,17448,21413,22486,18589,22101,18807,17000,14796,15466,17052,14742,15913,17396,14551,14907,16011,16241,15288,16321,16423,13626,12608,13999,13546,11916,14448,13557,12559,14556,11598,13052,10918,13710,13592,10959,9792,12978,14845,12994,10510,8399,11318,10773,11896,9806,4951,18005,13681
양구군청,6095,18300,7590,7888,4472,0,5217,8387,6153,2139,9771,7167,3165,10336,8514,3032,4840,4477,8745,9312,9704,16595,6542,8622,9285,6120,7579,9196,7690,9181,9127,9257,9593,8236,7513,6056,6749,8367,9023,8383,8016,6787,7457,7967,9727,7028,6164,9013,19779,15667,18300,16829,19590,15267,18024,15501,19050,16767,17238,14402,16986,18651,18833,16474,15216,14830,14120,14794,14295,12229,12755,10120,9953,11072,13027,10689,13032,13518,9223,13405,9729,16703,10269,11053,14539,11887,13048,14643,16106,13262,11323,17448,7207,11281,16270,8441,19601,19927,16187,17842,16658,17219,16484,18105,17062,19050,15156,18105,18768,18640,22112,15912,19913,20938,17070,20566,17302,15502,13310,13958,15549,13102,14432,15856,13077,13441,14533,14548,13852,14759,14781,11980,11094,12402,12051,10403,12932,12111,11122,13082,10135,11573,9434,12194,12077,9172,8178,11352,13182,11321,8716,6802,9550,8947,10210,7763,3917,16521,12127
양양군청,2178,18773,3718,4036,1830,4749,0,7661,6461,4019,5851,9718,5345,6458,5783,6369,5257,5901,9078,9659,9956,17090,6871,8974,9624,6462,7933,9541,8057,9712,9489,9614,10075,8580,7853,6204,7520,8791,9331,8881,8339,7107,7925,8276,10066,7326,6481,9351,19931,16132,18773,16713,20072,15720,18489,15958,19410,17201,17698,14864,17440,19122,19264,16927,15645,15266,14563,12984,14725,12678,13200,10567,9412,11437,13460,11149,9164,11104,9669,13855,10186,12870,6465,11513,14987,11160,13516,12164,16443,13749,11800,17210,7498,11765,15125,8757,19993,20316,16585,18981,17723,17693,16943,18486,17532,19410,15673,18489,19706,18963,22408,16295,20251,21263,17401,20873,17609,15825,13670,14307,16442,13610,14733,16194,13406,13742,14810,15035,14101,15118,15264,12420,11407,12821,12321,10713,13249,12350,11403,13388,10441,11889,9741,12522,12409,9664,8621,11827,13685,11793,9168,7227,10035,9429,10707,8257,3780,16829,12511
영월군청,6504,13607,7211,6707,9160,8501,7784,0,3670,7562,3164,10207,6785,3815,2085,7839,4183,7369,9385,8288,8696,12952,7196,7545,9866,7090,8367,8448,6419,7278,7998,7933,6085,7274,8090,5844,4836,9278,6521,6459,7113,7367,5550,8552,6552,7859,6375,7637,15132,10970,13607,12168,15237,10593,13624,11857,15978,12084,12657,9730,12303,14089,14504,11785,11593,10148,9438,10116,9614,8120,8540,5972,4298,6914,8881,6015,8398,8129,4564,8738,5067,16449,7527,6435,9859,7239,8401,9998,13073,8608,7765,12753,7770,7716,11604,8038,16609,16867,13089,15020,13577,14259,13457,15677,14719,15978,11554,15648,15639,15514,18771,12881,16707,18222,14558,17245,14159,13003,10832,11333,12379,9504,12153,12719,9966,10527,11327,10949,10658,11622,11172,8329,8534,8758,9564,8287,10768,9585,9158,10581,7594,9106,7321,9749,10119,5394,3044,7781,9587,7738,4907,2093,5937,5273,6588,3721,5412,14170,9918
원주시청,5298,13411,6819,7158,7705,6139,6267,3623,0,5219,6221,7800,4379,6882,4462,5332,1697,4858,6875,5742,6151,12001,4645,4993,7319,4562,5817,5901,3883,4713,5451,5432,5174,4747,5575,3287,2098,6729,4538,3938,4553,4805,2986,5993,5637,5290,3819,5086,14935,10797,13411,11964,15051,10399,13461,10982,15110,11913,12503,9559,12121,14127,14303,11609,10681,9976,9266,9941,9442,7297,7761,5164,5080,6085,8070,5746,8215,8651,4367,8552,4887,15798,8097,6224,9657,7035,8190,9794,12106,8400,6947,12514,5173,6902,11376,5442,15753,15858,12132,13899,12668,13276,12569,14777,13849,15110,10575,14790,14665,14575,17922,11898,15822,17363,13672,16403,13206,12176,9794,10479,11499,8515,10865,11843,8968,9544,10377,9997,9700,10775,10255,7359,7548,7902,8428,6919,9394,8570,7711,9556,6505,7984,5917,8890,8660,4622,3326,6792,8630,6761,4096,1930,4989,4430,5644,2733,2783,13236,8695
인제군청,4883,17538,6389,6713,3272,2203,3990,7578,5298,0,8543,8758,4451,9135,7556,4626,4202,5023,8158,8728,9015,16161,5949,8047,8709,5546,7023,8615,7134,8809,8603,8727,8935,7678,6956,5092,6513,7931,8302,7740,7507,6274,6802,7445,9235,6504,5627,8497,19055,14966,17538,16107,18884,14584,17295,14809,18552,16064,16665,13686,16276,17951,18087,15767,14514,14132,13423,14095,13604,11510,12048,9475,9250,10353,12328,9969,11847,12845,8514,12703,9008,15540,9111,10415,13924,11229,12387,14015,15651,12691,10665,16681,6658,10628,15543,7894,19130,19450,15725,17428,16196,16801,16027,17624,16645,18552,14401,17612,18223,18090,21563,15432,19362,20389,16520,20019,16761,14952,12787,13438,15009,12445,13880,15327,12514,12879,13972,13868,13249,14247,14075,11247,10536,11632,11455,9842,12367,11535,10592,12566,9608,11040,8907,11680,11562,8515,7526,10697,12563,10665,8041,6140,8893,8281,9552,7100,2702,15997,11621
