"행정구역(시군구)별",2024.01,2024.01,2024.01,2024.02,2024.02,2024.02,2024.03,2024.03,2024.03
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51313912,25558944,25754968,51303688,25553189,25750499,51293934,25547370,25746564
"서울특별시",9384325,4538354,4845971,9386705,4538306,4848399,9384739,4536128,4848611
"종로구",139378,67240,72138,139471,67266,72205,139498,67228,72270
"중구",121322,58651,62671,121419,58711,62708,121602,58767,62835
"용산구",212175,101793,110382,211247,101262,109985,209849,100488,109361
"성동구",277090,134390,142700,276952,134278,142674,276964,134232,142732
"광진구",335335,161154,174181,335200,161022,174178,335105,160888,174217
"동대문구",340983,167230,173753,341620,167462,174158,341987,167574,174413
"중랑구",382284,187392,194892,382322,187319,195003,381966,187102,194864
"성북구",424916,203824,221092,424853,203753,221100,424881,203700,221181
"강북구",287490,139141,148349,287040,138846,148194,286400,138474,147926
"도봉구",306722,148670,158052,306542,148545,157997,306346,148366,157980
"노원구",497237,238609,258628,497097,238504,258593,497064,238492,258572
"은평구",466474,221484,244990,466061,221201,244860,466007,221117,244890
"서대문구",305857,145212,160645,305909,145181,160728,305986,145110,160876
"마포구",363679,169882,193797,363615,169828,193787,363645,169745,193900
"양천구",435548,212547,223001,435278,212392,222886,434528,212015,222513
"강서구",562550,269623,292927,562067,269286,292781,561386,268922,292464
"구로구",392311,192252,200059,391671,191937,199734,391387,191789,199598
"금천구",227457,114471,112986,227268,114348,112920,227160,114278,112882
"영등포구",374985,183769,191216,374968,183591,191377,375148,183680,191468
"동작구",378360,182934,195426,378283,182915,195368,378649,183036,195613
"관악구",481872,242598,239274,481834,242703,239131,481958,242765,239193
"서초구",407768,194231,213537,407996,194232,213764,407840,194116,213724
"강남구",549154,262618,286536,553555,264695,288860,554280,265082,289198
"송파구",653989,314189,339800,653922,314043,339879,653736,313887,339849
"강동구",459389,224450,234939,460515,224986,235529,461367,225275,236092
"부산광역시",3290964,1603859,1687105,3289401,1602971,1686430,3287292,1601773,1685519
"중구",38476,18668,19808,38487,18680,19807,38463,18672,19791
"서구",103889,49956,53933,103694,49849,53845,103525,49779,53746
"동구",87619,42595,45024,87460,42528,44932,87275,42440,44835
"영도구",106335,52207,54128,106233,52149,54084,106108,52107,54001
"부산진구",360053,172807,187246,360881,173157,187724,361264,173321,187943
"동래구",269784,130367,139417,269350,130067,139283,269036,129870,139166
"남구",254348,123849,130499,255107,124244,130863,255470,124439,131031
"북구",272932,134225,138707,272315,133899,138416,271932,133676,138256
"해운대구",379702,181894,197808,378753,181458,197295,378063,181154,196909
"사하구",296935,147333,149602,296253,147027,149226,295755,146740,149015
"금정구",214642,104650,109992,214168,104436,109732,213976,104299,109677
"강서구",142109,73702,68407,141783,73560,68223,141775,73554,68221
"연제구",209331,100036,109295,210999,100853,110146,211435,101021,110414
"수영구",174086,81657,92429,173944,81523,92421,173738,81420,92318
"사상구",202376,101549,100827,202062,101360,100702,201853,101240,100613
"기장군",178347,88364,89983,177912,88181,89731,177624,88041,89583
"대구광역시",2373844,1166110,1207734,2372008,1165024,1206984,2369962,1163911,1206051
"중구",89685,42950,46735,90242,43241,47001,90561,43346,47215
"동구",342703,167899,174804,342161,167601,174560,341918,167481,174437
"서구",164513,81686,82827,164734,81758,82976,164457,81595,82862
"남구",138806,66319,72487,138480,66148,72332,138140,65948,72192
"북구",418563,207552,211011,417347,206934,210413,416725,206619,210106
"수성구",408260,196713,211547,409114,197089,212025,408943,197012,211931
"달서구",526576,258322,268254,525741,257863,267878,525600,257777,267823
"달성군",261808,132810,128998,261317,132577,128740,260800,132347,128453
"군위군",22930,11859,11071,22872,11813,11059,22818,11786,11032
"인천광역시",3000454,1500414,1500040,3003150,1501543,1501607,3006045,1502956,1503089
"중구",159481,82604,76877,161569,83627,77942,162369,84030,78339
"중구영종출장소",0,0,0,0,0,0,0,0,0
"중구용유출장소",0,0,0,0,0,0,0,0,0
"동구",59325,29718,29607,59178,29654,29524,59073,29584,29489
"미추홀구",406937,204668,202269,407117,204811,202306,407307,204960,202347
"연수구",392681,194710,197971,392959,194832,198127,393825,195293,198532
"남동구",491660,244140,247520,490973,243757,247216,490390,243474,246916
"부평구",495627,243992,251635,495768,243997,251771,495215,243726,251489
"계양구",279708,139204,140504,279261,138950,140311,279902,139291,140611
"서구",625675,315196,310479,627113,315846,311267,628811,316602,312209
"서구검단출장소",0,0,0,0,0,0,0,0,0
"강화군",69013,34553,34460,68925,34487,34438,68941,34467,34474
"옹진군",20347,11629,8718,20287,11582,8705,20212,11529,8683
"광주광역시",1418241,700377,717864,1417031,699715,717316,1415774,699084,716690
"동구",107152,52795,54357,107021,52677,54344,106855,52625,54230
"서구",283582,138771,144811,283552,138760,144792,282898,138372,144526
"남구",209472,100272,109200,209448,100220,109228,209022,100045,108977
"북구",421473,208505,212968,421073,208280,212793,421968,208680,213288
"광산구",396562,200034,196528,395937,199778,196159,395031,199362,195669
