시청,전국에서 오는 시간이 적게 걸리는 순
천안시청,3.13871E+11
서울시청,3.1672E+11
진천군청,3.21397E+11
하남시청,3.25245E+11
오산시청,3.26019E+11
아산시청,3.2655E+11
의왕시청,3.2925E+11
증평군청,3.32463E+11
평택시청,3.32775E+11
세종시청,3.36205E+11
용인시청,3.36375E+11
옥천군청,3.37505E+11
화성시청,3.37567E+11
괴산군청,3.40215E+11
인천시청,3.42883E+11
공주시청,3.42954E+11
이천시청,3.45014E+11
음성군청,3.46392E+11
성남시청,3.46861E+11
안양시청,3.47168E+11
대전시청,3.47509E+11
청주시청,3.48083E+11
수원시청,3.49482E+11
군포시청,3.50468E+11
보은군청,3.53633E+11
시흥시청,3.56173E+11
당진시청,3.5707E+11
의정부시청,3.5982E+11
계룡시청,3.61147E+11
안산시청,3.6163E+11
여주시청,3.61837E+11
문경시청,3.6322E+11
충주시청,3.64059E+11
논산시청,3.66126E+11
안성시청,3.67489E+11
남양주시청,3.67966E+11
부천시청,3.68258E+11
예산군청,3.72268E+11
구리시청,3.73608E+11
양평군청,3.75295E+11
완주군청,3.76472E+11
제천시청,3.79412E+11
파주시청,3.79666E+11
상주시청,3.80042E+11
부여군청,3.80303E+11
금산군청,3.85277E+11
과천시청,3.86645E+11
광명시청,3.90302E+11
무주군청,3.91826E+11
구미시청,3.92407E+11
청양군청,3.93683E+11
서산시청,3.93819E+11
김천시청,3.96902E+11
영동군청,3.96926E+11
양주시청,3.98215E+11
포천시청,3.99002E+11
홍성군청,3.99959E+11
전주시청,4.06549E+11
서천군청,4.09536E+11
익산시청,4.09993E+11
성주군청,4.11803E+11
군산시청,4.14746E+11
보령시청,4.19129E+11
단양군청,4.19439E+11
김포시청,4.20027E+11
칠곡군청,4.20927E+11
예천군청,4.22056E+11
영주시청,4.2255E+11
임실군청,4.22578E+11
진안군청,4.23968E+11
홍천군청,4.24314E+11
김제시청,4.25308E+11
대구시청,4.26235E+11
고양시청,4.28982E+11
장수군청,4.31464E+11
함양군청,4.32986E+11
횡성군청,4.35898E+11
남원시청,4.36724E+11
의성군청,4.37569E+11
태안군청,4.37716E+11
산청군청,4.40623E+11
동두천시청,4.47073E+11
안동시청,4.49381E+11
부안군청,4.53738E+11
창녕군청,4.53968E+11
정읍시청,4.54405E+11
순창군청,4.54853E+11
원주시청,4.55116E+11
고령군청,4.55624E+11
영천시청,4.58781E+11
봉화군청,4.62993E+11
거창군청,4.6342E+11
순천시청,4.66475E+11
고창군청,4.69596E+11
경산시청,4.69787E+11
청도군청,4.7206E+11
곡성군청,4.73689E+11
합천군청,4.75042E+11
연천군청,4.75318E+11
광주시청.1,4.76448E+11
가평군청,4.78962E+11
장성군청,4.79151E+11
청송군청,4.8314E+11
구례군청,4.86117E+11
광주시청,4.8972E+11
담양군청,4.90744E+11
진주시청,4.98654E+11
경주시청,5.02861E+11
영광군청,5.10351E+11
포항시청,5.1037E+11
춘천시청,5.11187E+11
밀양시청,5.11691E+11
영월군청,5.16125E+11
의령군청,5.19422E+11
화순군청,5.20388E+11
광양시청,5.23242E+11
함안군청,5.2363E+11
영덕군청,5.25724E+11
사천시청,5.29198E+11
함평군청,5.32801E+11
나주시청,5.37294E+11
무안군청,5.38963E+11
고성군청.1,5.396E+11
고성군청,5.39623E+11
평창군청,5.39823E+11
하동군청,5.42088E+11
창원시청,5.43364E+11
울산시청,5.51418E+11
통영시청,5.573E+11
김해시청,5.59951E+11
철원군청,5.60524E+11
화천군청,5.62256E+11
영양군청,5.64166E+11
인제군청,5.65209E+11
부산시청,5.66739E+11
여수시청,5.71177E+11
신안군청,5.78812E+11
목포시청,5.79272E+11
양산시청,5.88364E+11
보성군청,5.88503E+11
남해군청,5.90242E+11
영암군청,5.90289E+11
거제시청,5.96229E+11
울진군청,5.97609E+11
강릉시청,6.03439E+11
양양군청,6.08263E+11
양구군청,6.09479E+11
태백시청,6.15823E+11
장흥군청,6.17973E+11
강진군청,6.22611E+11
고흥군청,6.27792E+11
정선군청,6.27912E+11
동해시청,6.45265E+11
삼척시청,6.50727E+11
해남군청,6.6414E+11
속초시청,6.77082E+11
진도군청,7.03365E+11
완도군청,7.4153E+11
울릉군청,9.94505E+11
